Alabama	200.50	50.00	500.00
Alaska	300.25	100.00	750.00
Arizona	150.00	25.00	300.00
Arkansas	175.00	75.00	400.00
California	250.75	50.00	600.00
Colorado	225.50	100.00	500.00
Connecticut	300.00	150.00	700.00
Delaware	175.50	75.00	350.00
Florida	175.25	50.00	400.00
Georgia	200.00	75.00	450.00
Hawaii	350.00	200.00	800.00
Idaho	125.50	50.00	300.00
Illinois	225.75	100.00	500.00
Indiana	200.25	75.00	400.00
Iowa	150.00	50.00	250.00
Kansas	175.50	50.00	350.00
Kentucky	175.00	75.00	400.00
Louisiana	200.00	75.00	450.00
Maine	225.75	100.00	500.00
Maryland	300.00	150.00	700.00
Massachusetts	350.00	200.00	800.00
Michigan	225.50	100.00	500.00
Minnesota	175.50	75.00	400.00
Mississippi	150.00	25.00	300.00
Missouri	200.25	75.00	400.00
Montana	125.50	50.00	300.00
Nebraska	175.50	50.00	350.00
Nevada	250.75	50.00	600.00
New Hampshire	300.00	150.00	700.00
New Jersey	350.00	200.00	800.00
New Mexico	175.00	75.00	400.00
New York	225.75	100.00	500.00
North Carolina	200.00	75.00	450.00
North Dakota	150.00	50.00	250.00
Ohio	200.25	75.00	400.00
Oklahoma	175.50	50.00	350.00
Oregon	225.50	100.00	500.00
Pennsylvania	300.00	150.00	700.00
Rhode Island	350.00	200.00	800.00
South Carolina	200.00	75.00	450.00
South Dakota	150.00	50.00	250.00
Tennessee	175.25	50.00	400.00
Texas	225.75	100.00	500.00
Utah	175.50	50.00	350.00
Vermont	225.75	100.00	500.00
Virginia	300.00	150.00	700.00
Washington	250.75	50.00	600.00
West Virginia	175.00	75.00	400.00
Wisconsin	200.25	75.00	400.00
Wyoming	125.50	50.00	300.00
\.


