Alabama	1797.50	1200.00	2500.00
Alaska	2684.00	2000.00	3500.00
Arizona	2356.75	1500.00	4000.00
Arkansas	1499.25	1000.00	2500.00
California	5832.50	3500.00	9000.00
Colorado	2987.25	2000.00	4500.00
Connecticut	3837.00	3000.00	5500.00
Delaware	2289.75	1500.00	3500.00
Florida	2763.50	1500.00	5000.00
Georgia	2065.00	1200.00	3500.00
Hawaii	5975.50	4500.00	7500.00
Idaho	1382.00	800.00	2500.00
Illinois	2056.50	1200.00	3500.00
Indiana	1704.75	1000.00	3000.00
Iowa	1442.25	1000.00	2000.00
Kansas	1479.50	1000.00	2500.00
Kentucky	1605.00	1000.00	3000.00
Louisiana	1718.50	1000.00	3000.00
Maine	2236.00	1500.00	3500.00
Maryland	3122.75	2000.00	5000.00
Massachusetts	4136.50	3000.00	6000.00
Michigan	1812.75	1000.00	3500.00
Minnesota	2195.50	1500.00	4000.00
Mississippi	1499.25	1000.00	2500.00
Missouri	1677.75	1000.00	1000.00
Montana	1705.00	1000.00	3000.00
Nebraska	1459.25	1000.00	2500.00
Nevada	2503.00	1500.00	5000.00
New Hampshire	3122.75	2000.00	5000.00
New Jersey	4672.25	3500.00	7500.00
New Mexico	1499.25	1000.00	2500.00
New York	4968.75	3500.00	30000
North Carolina	2056.50	1200.00	3500.00
North Dakota	1505.50	1000.00	2500.00
Ohio	1797.50	1200.00	2500.00
Oklahoma	1499.25	1000.00	2500.00
Oregon	2684.00	2000.00	3500.00
Pennsylvania	2056.50	1200.00	3500.00
Rhode Island	3458.25	2500.00	5000.00
South Carolina	1912.50	1200.00	3500.00
South Dakota	1442.25	1000.00	2000.00
Tennessee	1812.75	1000.00	3500.00
Texas	2356.75	1500.00	4000.00
Utah	2236.00	1500.00	3500.00
Vermont	2356.75	1500.00	4000.00
Virginia	2503.00	1500.00	5000.00
Washington	3458.25	2500.00	5000.00
West Virginia	1442.25	1000.00	2000.00
Wisconsin	1968.25	1200.00	3500.00
Wyoming	1968.25	1200.00	3500.00
\.


